Libraries and tools;;;;
;;;;
;;;;
;;;;
;;;;
Plateform;Name;Description;Keywords;URL
Android;Android-Stackblur;Android StackBlur is a library that can perform a blurry effect on a Bitmap based on a gradient or radius, and return the result;effect , blur;https://github.com/kikoso/android-stackblur
Android;BreadcrumbLayout;A breadcrumb view based on a TableLayout;breadcrumb;https://github.com/ayvazj/BreadcrumbLayout
Android;Jelly Direction Button;;button;https://github.com/bonghyun2/jelly-direction-button
Android;SparkButton;Android library to create buttons with Twitter's heart like animation. ;button;https://github.com/varunest/SparkButton
Android;Submit Button;A cool and elegant submit button;button;https://github.com/SparkYuan/SubmitButton
Android;Image Zoomer;Image zoom animations for Android;image , zoom;https://github.com/code-crusher/Image-Zoomer
Android;Liquid button;Animation of liquid loading button;button;https://github.com/yoruriko/LiquidButton
Android;SocialButtons;;button;https://github.com/championswimmer/Android-SocialButtons
Android;Ring Button;;button;https://github.com/yankai-victor/RingButton
Android;Badge;A Series Of Badge Drawables For Android;badge ;https://github.com/nekocode/Badge
Android;TriangleLabelView;A view with a triangle in the corner has a label;view ;https://github.com/shts/TriangleLabelView
Android;Bubbles;;notification , bubbles;https://github.com/txusballesteros/bubbles-for-android
Android;Bubbles Notifications;Exploding bubbles notifications;;https://github.com/dkmeteor/Bubble-Notification
Android;9-Patch resizer;;9-patch , resizer;https://github.com/redwarp/9-Patch-Resizer
Android;CitiesAutoComplete;;cities , Google Places , autocomplete;https://github.com/davidbeloo/CitiesAutoComplete
Android;TokenAutoComplete;;auto-complete;https://github.com/splitwise/TokenAutoComplete
Android;EmailAutoComplete;;email , autocomplete;https://github.com/tasomaniac/EmailAutoCompleteTextView
Android;SlidingActivity;Android library which allows you to swipe down from an activity to close it. ;;https://github.com/klinker41/android-slidingactivity
Android;Carouselview;A simple library to add carousel view in android app. ;carousel , view;https://github.com/sayyam/carouselview
Android;Paperboy;A changelog library for Android ;changelog , view;https://github.com/porokoro/paperboy
Android;Vintage Chroma;;color picker;https://github.com/MrBIMC/VintageChroma
Android;Bugshaker;;shaker , bug;https://github.com/stkent/bugshaker-android
Android;Connect Pattern;;pattern;https://github.com/BCGDV-ASIA/android-widget-connectpattern
Android;PullToRefresh;;pull to refresh , fun , animations;https://github.com/lubeast/PullToRefresh
Android;Bored Rudolf;;pull to refresh , game;https://github.com/FauDroids/Bored-Rudolf
Android;Beer Swipe Refresh;;;https://github.com/recruit-lifestyle/BeerSwipeRefresh
Android;FlyRefresh;;pull to refresh , animation;https://github.com/race604/FlyRefresh
Android;Circular Slider;;;https://github.com/milosmns/circular-slider-android
Android;Ticker;An Android TextView with scrolling text changes;text view , scrolling;https://github.com/robinhood/ticker
Android;Jackson;JSON parser library;json ;http://wiki.fasterxml.com/JacksonHome https://github.com/FasterXML/jackson
Android;LikesLayout;mplementation of layouts that allow to add likes in Periscope style;layout , effects , likes;https://github.com/Iojjj/LikesLayou
Android;Revealator;An helper to circle reveal / unreveal a view easily;layout , effects ;https://github.com/Jaouan/Revealator
Android;Otto;An enhanced event bus with emphasis on Android support ;events , bus programming;http://square.github.io/otto/ 
Android;Dagger;Dependency injector;dependency , injection ;http://google.github.io/dagger/ https://github.com/google/dagger
Android;RxAndroid;Reactive Extension;Events , reactive programming;https://github.com/ReactiveX/RxAndroid
Android;OkHttp;An HTTP and HTTP/2 client for Android and Java application;HTTP , HTTP2 , client;http://square.github.io/okhttp/
Android;StepView;Step by step view;HorizontalStepView , VerticalStepView , indicators;https://github.com/baoyachi/StepView
Android;Material Tip;;tip;https://github.com/fcannizzaro/material-tip
Android;Dart lib;Extras injection lib;intent , extras , injections;https://github.com/f2prateek/dart
Android;QRCodeReaderView;;;https://github.com/dlazaro66/QRCodeReaderView
Android;SlidingDrawer;;bottom sheet , sliding view;https://github.com/PierfrancescoSoffritti/SlidingDrawer
Android;Hugo;Annotation-triggered method call logging for debug builds;annotations , log;https://github.com/JakeWharton/hugo
Android;Crystal preloaders;;loaders;https://github.com/syedowaisali/crystal-preloaders
Android;Magic Button;;buttons;https://github.com/daniel-martins-IR/MagicButton
Android;AndroidDevMetrics;Performance metrics library ;metrics , dagger2metrics;https://github.com/frogermcs/AndroidDevMetrics
Android;StereoView;;effects;https://github.com/ImmortalZ/StereoView
Android;ThumbUp;;effects , animations , likes;https://github.com/ldoublem/ThumbUp
Android;MaterialLogin;Amazing material login effect;material , login;https://github.com/fanrunqi/MaterialLogin
Android;GlideFaceDetectionTransformation;Image transformation library providing cropping above face detection;face detection;https://github.com/aryarohit07/GlideFaceDetectionTransformation
Android;Retrofit;A type safe HTTP client for Android and Java;HTTP client , OkHTTP;http://square.github.io/retrofit/
Android;Onboarding;;introduction , screen;https://github.com/eoinfogarty/Onboarding
Android;Tracker;;bug tracking , crash;https://github.com/android-Infoedge/tracker
Android;FlipCards;;3D flip cards;https://github.com/zhangke3016/FlipCards
Android;Leku;;location picker , GPS;https://github.com/SchibstedSpain/Leku
Android;Android Priority Jobqueue;;job queue , tasks , jobs;https://github.com/yigit/android-priority-jobqueue
Android;JCVD;;Awareness API;https://github.com/djavan-bertrand/JCVD
Android;GoogleMapsRippleEffect;;Google Maps , ripple , effects , animations , circle;https://github.com/aarsy/GoogleMapsRippleEffect
Android;SpiderWebScoreView;;score , view , spider web;https://github.com/xiaopansky/SpiderWebScoreView
Android;Smali;;RI , reverse engineering , tool;https://github.com/JesusFreke/smali
Android;AndBug;Scriptable Android Debugger;RI , reverse engineering , tool;https://github.com/swdunlop/AndBug
Android;Androguard;;RI , reverse engineering , tool;https://github.com/androguard/androguard
Android;AFE;Android Framework Exploitation;RI , reverse engineering , tool;https://github.com/appknox/AFE
Android;Android KillPermAndSigChecks;Bypass signature and permission checks for IPCs;RI , reverse engineering , tool;https://github.com/iSECPartners/Android-KillPermAndSigChecks
Android;Android OpenDebug;Make any application debuggable;RI , reverse engineering , tool;https://github.com/iSECPartners/Android-OpenDebug
Android;Enjarify;Tool for translating Dalvik bytecode to equivalent Java bytecode;RI , reverse engineering , tool;https://github.com/google/enjarify
Android;Fino;Android small footprint inspection tool;RI , reverse engineering , tool;https://github.com/sysdream/fino
Android;Indroid;;RI , reverse engineering , tool;https://bitbucket.org/aseemjakhar/indroid
Android;Introspy;Security profiling for blackbox Android;RI , reverse engineering , tool;https://github.com/iSECPartners/Introspy-Android
Java;JD GUI;Java decompiler with a neat GUI;RI , reverse engineering , tool;https://github.com/java-decompiler/jd-gui
Java;Krakatau;Java decompiler, assembler and disassembler;RI , reverse engineering , tool;https://github.com/Storyyeller/Krakatau
Java;Procyon;Java 5+ capable decompiler;RI , reverse engineering , tool;https://bitbucket.org/mstrobel/procyon/wiki/Java%20Decompiler
Java;Fernflower;Java decompiler with a neat GUI;RI , reverse engineering , tool;https://github.com/fesh0r/fernflower
Android;Redexer;Bytecode instrumentation framework for Dalvik bytecode;RI , reverse engineering , tool;https://github.com/plum-umd/redexer    http://www.cs.umd.edu/projects/PL/redexer/
Android;Simplify;Generic Android Deobfuscator;RI , reverse engineering , tool;https://github.com/CalebFenton/simplify
Android;Bytecode Viewer;A Java 8 JAR and Android APK Reverse Engineering Suite;RI , reverse engineering , tool;https://github.com/Konloch/bytecode-viewer
Android;EasyDeviceInfo;;device infos;https://github.com/nisrulz/easydeviceinfo
Android;MaterialTapTargetPrompt;;tap target , prompt , features discovery;https://github.com/sjwall/MaterialTapTargetPrompt
Android;Space Navigation View;;space navigation view;https://github.com/armcha/Space-Navigation-View
Android;Speed View;;speed , view;https://github.com/anastr/SpeedView
Java;Guava;;Google , Java;https://github.com/google/guava
Android;AndroidAudioRecorder;A fancy audio recorder for Android supporting WAV format;audio , recorder;https://github.com/adrielcafe/AndroidAudioRecorder
Android;AdBlockerDetector;;ads , adblock;https://github.com/Swisyn/AdBlockerDetector
Android;Jgraph;;graphs , charts;https://github.com/mychoices/Jgraph
Android;SignUpTransition;;animations , views , transitions , sign up;https://github.com/JeasonWong/SignUpTransition
Android;Infinite Cycle View Pager;Infinite cycle ViewPager with two-way orientation and interactive effect;view , view pager , loops;https://github.com/DevLight-Mobile-Agency/InfiniteCycleViewPager
Android;CodeView;Shows code content with syntax highlihhting in native way;view , code , sources;https://github.com/Softwee/codeview-android
Android;Knife;Rich text editor;text editor;https://github.com/mthli/Knife
Android;Confetti;Particle system library for displaying confettis;animations , views , confetti , particles;https://github.com/jinatonic/confetti
Android;Recycler View Helper;Provides most common functions around recycler views like swipes to dismiss, drag and drop, divider…;recycler view;https://github.com/nisrulz/recyclerviewhelper
Android;RingProgress;A circle progress bar with effect;ring , progress view;https://github.com/ldoublem/RingProgress
Android;ChompProgressView;A semi realistic progress view that takes bites out of images;animation , effect , omnomnomnom;https://github.com/andyb129/ChompProgressView
Android;SmileyLoadingView;A custom loading view;loading view , animations;https://github.com/andyxialm/SmileyLoadingView
Android;EncryptedPreferences;AES-256 encrypted SharedPreferences;AES , security , encryption , preferences;https://github.com/PDDStudio/EncryptedPreferences
Design;Legofy; Make images look as if they are made out of 1x1 LEGO blocks;Lego;https://github.com/JuanPotato/Legofy
Android;Barcodescanner;;bar code , qr code , scanner;https://github.com/dm77/barcodescanner
Android;RecyclerViewSnap;;snap helper , snap , view , swipe;https://github.com/rubensousa/RecyclerViewSnap
Android;CompareImage;;image , comparison;https://github.com/Onkarn92/CompareImage
Design;Thumby;Image paring and resizing server;picture , operations;https://www.thumby.io/
Kotlin;Spek;A Kotlin Specification Framework for the JVM;uni tests , Kotlin , spek , tests;http://jetbrains.github.io/spek/notes/1.0.html
Design;Cloud convert;Convert anything;convert , GIF , mp4 , memes;https://cloudconvert.com/
Android;Pidcat;Colored logcat script which only shows log entries for a specific application package;log , logcat , debug;https://github.com/JakeWharton/pidcat
Android;LoaderViewLibrary;Library that enables TextView and ImageView to show loading animation while waiting for the text and image get loaded;view , animations , loader;https://github.com/elye/loaderviewlibrary
Android;Paper;Fast and simple data storage library for Android;database , storage , NoSQL , Kryo;https://github.com/pilgr/Paper
Java;Kryo;Java serialziation andcloning : fast,e fficient, automatic;storage , serialization;https://github.com/EsotericSoftware/kryo
Android;Telegram;Telegram Messenger for Android;Telegram , app , security , privacy;https://github.com/DrKLO/Telegram
Android;FilpAnimation;Simple example for flip animation;animation , flip;https://github.com/4xes/FlipAnimation
Android;BGABadgeView;;animation , badge;https://github.com/bingoogolapple/BGABadgeView-Android
Android;ThirtyInch – a new MVP library for Android;;ThirtyInch , MVP;https://github.com/grandcentrix/ThirtyInch/
Android;Minicap;Stream real-time screen capture data out of Android devices;screen , captures;https://github.com/openstf/minicap
Android;TapTargetView;An implmentation of tap targets from the Material Design guidelines for feature discovery;tap target , feature discovery , intro;https://github.com/KeepSafe/TapTargetView
Android;ActSwitchAnimTool;Tool which makes the animation easy to implments;animations , effects;https://github.com/Yellow5A5/ActSwitchAnimTool
Android;PlaceSearchDialog;A place autocomplete search dialog which uses Google's Places API for finding results;Places , location , search;https://github.com/codemybrainsout/PlaceSearchDialog
Android;Material-intro-screen;;intro screen;https://github.com/TangoAgency/material-intro-screen
Android;Emojiconize;;emojicon;https://github.com/rockerhieu/emojiconize
Android;Versionberg; Gradle plugin for versioning your library/application on every git commit ;Gradle , commit , git , version;https://github.com/rockerhieu/Versionberg
Android;Tray; a SharedPreferences replacement for Android with multiprocess support ;SharedPreferences , Preferences , process , multiprocess , multiproces , content , data storage;https://github.com/grandcentrix/tray
Android;Ahoy onboarding;Android onboarding library.;view , intro screen , onboarding;https://github.com/codemybrainsout/ahoy-onboarding
Android;Android page transition;ViewPager with verticl sliding effects and activity transition;ViewPager , effects , transitions;https://github.com/xmuSistone/android-page-transition
Android;BubbleAnimationLayout;Some animations combining bubles and cards;snimations , bubble;https://github.com/Cleveroad/BubbleAnimationLayout
Android;"RecyclerViewUndoSwipe
"; Swipe and drag support for RecyclerView with undo action. ;ItemTouch , swipe , drag , RecyclerView;https://github.com/HoneyNeutrons/RecyclerViewUndoSwipe
Android;AndroidUtilCode;Some util classes…;utils;https://github.com/Blankj/AndroidUtilCode
/;Jfrog;Solutions to automate software package  management;DevOps , tool;https://www.jfrog.com/open-source/
/;Artifactory;Repository and packages manager;Package , repo , DevOps , tool;https://www.jfrog.com/open-source/#os-arti
/;Bintray;To pubilish and consume software releases;Bin , DevOps , tool;https://www.jfrog.com/open-source/#os-bin
/;Gatling;Loas testing framework based on Scala, Akka and Netty;Stree test , load test , DevOps , tool;http://gatling.io/#/
/;Tunetoo;Coz geeks and nerdz must have fun t-shirtz !!;customization;http://www.tunetoo.com/
/;Ansible;Deploy apps, manage systems, crush complexity;DevOps , tool;https://www.ansible.com/
/;GitLab;Tool to use to unify issus, code review, configuration management , CI and CD;Git , DevOps , tool;https://about.gitlab.com/
/;Jmeter;To laod test functionnal behavior and measure performances;Load test , performances , DevOps , tool;http://jmeter.apache.org/
/;Travis;Tests Github hosted projects;Github , CI , DevOps , tool;https://travis-ci.org/
/;Framalink;URL shorter;URL , tool , privacy , framasoft;https://frama.link/
/;Framindmap;Mindmap tool;mind map , tool , privacy , framasoft;https://framindmap.org/c/login
/;MyFrama;Bookmakrs and links sharing;link , bookmark , tool , privacy , framasoft;https://my.framasoft.org/
/;Framadate;Make polls;polls , planning , tool , privacy , framasoft;https://framadate.org/
/;Framadrive;;drive , cloud storage , tool , privacy , framasoft;https://framadrive.org/
/;Framanotes;;notes , tool , privacy , framasoft;https://framanotes.org/
/;Framasphère*;;social network , Diaspora* , tool , privacy , framasoft;https://framasphere.org/
/;Framaganda;;agenda , tool , privacy , framasoft;https://framagenda.org/index.php/login
/;Framapad;;tool , privacy , framasoft;https://framapad.org/
/;Framaforms;To make forms;forms , tool , provacy , framasoft;https://framaforms.org/
/;Framalistes;Mailing listes;mailing list , tool , privacy , framasoft;https://framalistes.org/
/;Framacarte;Map;map , tool , privacy , framasoft;https://framacarte.org/en/
/;Framanews;;RSS , tool , privacy , framasoft;https://framanews.org/
/;Framabee;An Internet search engine;search engine , tool , privacy , framasoft;https://framabee.org/
/;Framapic;Share pictures online anonymously;picture , tool , privacy , framasoft;https://framapic.org/
/;Framemo;Memo;memo , tool , privacy , framasoft;https://framemo.org/
/;Framabin;Send encyphered messages;messages , privacy , tool , framasoft;https://framabin.org/
/;Framatalk;Visio talks;Visio , privacy , tool , framasoft;https://framatalk.org/accueil/
/;Framateam;Colloborative communication like Slack;tool , privacy , framasoft;https://framateam.org/login
/;Framaboard;Collaborative project management like Kanban ;project management , tool , privacy , framasoft;https://framaboard.org/
/;Framadrop;Share file anonymously;file sharing , tool , privacy , framasoft;https://framadrop.org/
Android;AnimatorDuratinTile;A quick settings tile to quickly set the animator duration scale;animation;https://github.com/nickbutcher/AnimatorDurationTile
Android;RealtimeBlurView;A realtime blurring overlay;blur , view;https://github.com/mmin18/RealtimeBlurView
Android;AHBottomNavigation;A library to reproduce the behavior of the bottom navigation guidelines;bottom navigation;https://github.com/aurelhubert/ahbottomnavigation
Android;Apk Dependency graph;Android depency visualizer;graph , dependances;https://github.com/alexzaitsev/apk-dependency-graph
Android;Live emoji;;emojicon;https://github.com/RomainPiel/live-emoji
JavaScript;React;A JavaScript library for building user itnerfaces;ReactJS , UI , multi-OS , web , Android , iOS , web , JS;https://facebook.github.io/react/
JavaScript;JSX;JSX is a statically-typed, object-oriented programming language designed to run on modern web browsers.;JS , performances , compatibility , web;https://jsx.github.io/
JavaScript;Babel;A JavaScript compiler / transpiler;Transpiler , JS , web;https://babeljs.io/
JavaScript;Browerify;To bundle JS depedencies;dependencies , web , JS;http://browserify.org/
JavaScript;NPM;A package manager for JS;JS , package;https://www.npmjs.com/
JavaScript;Grunt;The JavaScript task runner;JS , task runner;http://gruntjs.com/
